registration_id,owner_city,owner_state,owner_zip,county,make,model,year,ev_type,electric_range_miles,base_msrp,registration_date
WA-EV-00042,spokane,WA,99203,Spokane,Chevrolet,Bolt EV,2022,BEV,259,26500,2022-10-27
WA-EV-00043,Spokane,WA,99205,SPOKANE,Nissan,Leaf,2021,BEV,212,27400,2021-05-19
WA-EV-00044,Spokane,WA,99208,Spokane,Ford,Mustang Mach-E,2023,BEV,247,45995,2023-09-02
WA-EV-00045,Spokane Valley,WA,99206,Spokane,Tesla,Model Y,2023,BEV,330,52990,2023-02-15
WA-EV-00046,Spokane Valley,WA,99212,Spokane,Kia,EV6,2022,BEV,310,42600,2022-07-28
WA-EV-00047,Vancouver,WA,98660,clark,Tesla,Model 3,2022,BEV,358,46990,2022-06-21
WA-EV-00048,VANCOUVER,WA,98663,Clark,Nissan,Leaf,2022,BEV,212,27400,2022-12-04
WA-EV-00049,Vancouver,WA,98665,Clark,Chevrolet,Bolt EV,2021,BEV,259,26500,2021-10-17
WA-EV-00050,Camas,WA,98607,Clark,Rivian,R1S,2023,BEV,321,78000,2023-05-30
WA-EV-00051,Washougal,WA,98671,Clark,Hyundai,IONIQ 5,2022,BEV,266,41450,2022-08-12
WA-EV-00052,Olympia,WA,98501,Thurston,Tesla,Model Y,2022,BEV,330,52990,2022-03-25
WA-EV-00053,Olympia,WA,98502,Thurston,Ford,Mustang Mach-E,2021,BEV,247,45995,2021-11-08
WA-EV-00054,Lacey,WA,98503,Thurston,Chevrolet,Bolt EV,2023,BEV,259,26500,2023-04-21
WA-EV-00055,Tumwater,WA,98501,Thurston,Nissan,Leaf,2020,BEV,149,31600,2020-08-03
WA-EV-00056,Kennewick,WA,99336,Benton,Tesla,Model 3,2023,BEV,358,46990,2023-06-16
WA-EV-00057,Kennewick,WA,99337,Benton,Chevrolet,Bolt EV,2022,BEV,259,26500,2022-01-29
WA-EV-00058,Richland,WA,99352,Benton,Tesla,Model Y,2022,BEV,330,52990,2022-09-11
WA-EV-00059,Pasco,WA,99301,Franklin,Ford,F-150 Lightning,2022,BEV,320,55974,2022-07-24
WA-EV-00060,Yakima,WA,98901,Yakima,Nissan,Leaf,2021,BEV,212,27400,2021-04-06
WA-EV-00061,Yakima,WA,98903,Yakima,Chevrolet,Bolt EV,2022,BEV,259,26500,2022-11-19
WA-EV-00062,Wenatchee,WA,98801,Chelan,Tesla,Model 3,2022,BEV,358,46990,2022-05-02
WA-EV-00063,Wenatchee,WA,98801,Chelan,Rivian,R1T,2023,BEV,314,67500,2023-08-15
WA-EV-00064,Bellingham,WA,98225,Whatcom,Tesla,Model Y,2022,BEV,330,52990,2022-02-18
WA-EV-00065,Bellingham,WA,98226,Whatcom,Ford,Mustang Mach-E,2023,BEV,247,45995,2023-07-01
WA-EV-00066,Bellingham,WA,98229,Whatcom,Hyundai,IONIQ 5,2022,BEV,266,41450,2022-10-14
WA-EV-00067,Mount Vernon,WA,98273,Skagit,Tesla,Model 3,2021,BEV,358,43990,2021-06-27
WA-EV-00068,Burlington,WA,98233,Skagit,Chevrolet,Bolt EUV,2023,BEV,247,28795,2023-01-10
WA-EV-00069,Oak Harbor,WA,98277,Island,Nissan,Leaf,2022,BEV,212,27400,2022-04-23
WA-EV-00070,Anacortes,WA,98221,Skagit,Volkswagen,ID.4,2022,BEV,280,41230,2022-09-05
WA-EV-00071,Bremerton,WA,98310,Kitsap,Tesla,Model 3,2022,BEV,358,46990,2022-06-18
WA-EV-00072,Poulsbo,WA,98370,Kitsap,Nissan,Leaf,2021,BEV,212,27400,2021-12-01
WA-EV-00073,Bainbridge Island,WA,98110,Kitsap,Tesla,Model S,2023,BEV,405,89990,2023-09-14
WA-EV-00074,Port Orchard,WA,98366,Kitsap,Chevrolet,Bolt EV,2022,BEV,259,26500,2022-03-27
WA-EV-00075,Silverdale,WA,98383,Kitsap,Kia,EV6,2023,BEV,310,42600,2023-10-10
WA-EV-00076,Kenmore,WA,98028,King,Tesla,Model Y,2022,BEV,330,52990,2022-08-23
WA-EV-00077,Bothell,WA,98021,King,BMW,i4,2022,BEV,301,56100,2022-11-05
WA-EV-00078,Woodinville,WA,98072,King,Rivian,R1S,2022,BEV,321,78000,2022-04-17
WA-EV-00079,Maple Valley,WA,98038,King,Ford,F-150 Lightning,2023,BEV,320,55974,2023-03-30
WA-EV-00080,Covington,WA,98042,King,Tesla,Model 3,2021,BEV,358,43990,2021-10-12
WA-EV-00081,Puyallup,WA,98375,Pierce,Hyundai,IONIQ 6,2022,BEV,361,38615,2022-07-25
WA-EV-00082,Bonney Lake,WA,98391,Pierce,Nissan,Leaf,2023,BEV,212,27400,2023-05-08
WA-EV-00083,Sumner,WA,98390,Pierce,Volkswagen,ID.4,2022,BEV,280,41230,2022-12-21
WA-EV-00084,Enumclaw,WA,98022,King,Chevrolet,Bolt EV,2021,BEV,259,26500,2021-08-04
WA-EV-00085,North Bend,WA,98045,King,Tesla,Model Y,2023,BEV,330,52990,2023-02-17
WA-EV-00086,Snoqualmie,WA,98065,King,Ford,Mustang Mach-E,2022,BEV,247,45995,2022-05-31
WA-EV-00087,Tukwila,WA,98188,King,Toyota,bZ4X,2023,BEV,252,43215,2023-11-13
WA-EV-00088,SeaTac,WA,98148,King,Nissan,Leaf,2022,BEV,212,27400,2022-01-26
WA-EV-00089,Des Moines,WA,98198,King,Chevrolet,Bolt EUV,2023,BEV,247,28795,2023-06-09
WA-EV-00090,Normandy Park,WA,98148,King,Tesla,Model 3,2022,BEV,358,46990,2022-10-22
WA-EV-00091,Tacoma,WA,98406,Pierce,BMW,i4,2022,BEV,301,56100,2022-09-04
WA-EV-00092,University Place,WA,98466,Pierce,Tesla,Model Y,2023,BEV,330,52990,2023-07-18
WA-EV-00093,Fircrest,WA,98466,Pierce,Rivian,R1T,2022,BEV,314,67500,2022-03-01
WA-EV-00094,Steilacoom,WA,98388,Pierce,Kia,Niro EV,2021,BEV,253,39990,2021-11-14
WA-EV-00095,DuPont,WA,98327,Pierce,Hyundai,IONIQ 5,2023,BEV,266,41450,2023-08-27
WA-EV-00096,Monroe,WA,98272,Snohomish,Chevrolet,Bolt EV,2022,BEV,259,26500,2022-06-10
WA-EV-00097,Snohomish,WA,98290,Snohomish,Nissan,Leaf,2021,BEV,212,27400,2021-04-23
WA-EV-00098,Lake Stevens,WA,98258,Snohomish,Tesla,Model 3,2023,BEV,358,46990,2023-09-05
WA-EV-00099,Mill Creek,WA,98012,Snohomish,Volkswagen,ID.4,2023,BEV,280,41230,2023-12-18
WA-EV-00100,Arlington,WA,98223,Snohomish,Ford,Mustang Mach-E,2022,BEV,247,45995,2022-08-01
WA-EV-00101,Seattle,WA,98101,King,Toyota,Prius Prime,2023,PHEV,25,32350,2023-03-12
WA-EV-00102,Bellevue,WA,98004,King,BMW,330e,2022,PHEV,22,44550,2022-07-19
WA-EV-00103,Tacoma,WA,98402,Pierce,Volvo,XC60 Recharge,2023,PHEV,35,55350,2023-05-28
WA-EV-00104,Redmond,WA,98052,King,Mitsubishi,Outlander PHEV,2022,PHEV,24,36695,2022-11-03
WA-EV-00105,Spokane,WA,99201,Spokane,Chrysler,Pacifica Hybrid,2023,PHEV,32,49995,2023-08-14
